datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T18:11:06.000000Z,APEX-2-T,42.31621551513672,-71.12919616699219,17181,0.0,1.3725490196078431,6,92.0,11.8,712,16,42,11,2025-06-21T18:11:12.729909,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625873,Horus Binary v2,,-0.43,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:11:11.413498Z,5B03C802120B06CE43294226428EC21D432A100B4600007600069803000033B2
2025-06-21T18:11:11.000000Z,APEX-2-T,42.31562423706055,-71.12863159179688,17209,0.0,1.3725490196078431,6,91.5,11.7,713,16,54,11,2025-06-21T18:11:16.879442,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-1.89,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:11:16.456424Z,5B03C902120B0B33432942DC418EC2394336100B460000750006930300000EC9
2025-06-21T18:11:16.000000Z,APEX-2-T,42.31509780883789,-71.12818145751953,17238,0.0,1.3725490196078431,6,91.2,11.7,714,16,60,11,2025-06-21T18:11:23.038293,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625869,Horus Binary v2,,2.78,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:11:21.494039Z,5B03CA02120B10A9422942A1418EC256433C100B46000075000690030000ED6C
2025-06-21T18:11:46.000000Z,APEX-2-T,42.31170654296875,-71.12613677978516,17401,0.0,1.3725490196078431,6,88.9,11.6,720,16,49,11,2025-06-21T18:11:51.245663,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-0.76,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:11:51.022545Z,5B03D002120B2E303F294295408EC2F94331100B46000074000679030000A910
2025-06-21T18:12:56.000000Z,APEX-2-T,42.305450439453125,-71.12439727783203,17904,0.0,1.3725490196078431,6,82.2,11.4,734,16,32,11,2025-06-21T18:13:02.064571,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625863,Horus Binary v2,,-1.73,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:13:01.165150Z,5B03DE02120C38C8382942B13F8EC2F04520100B460000720006360300001BD1
2025-06-21T18:13:01.000000Z,APEX-2-T,42.305301666259766,-71.1242446899414,17933,0.0,1.3725490196078431,6,81.7,11.4,735,16,14,11,2025-06-21T18:13:06.211389,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625864,Horus Binary v2,,-5.04,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:13:06.101714Z,5B03DF02120D01A13829429D3F8EC20D460E100B460000720006310300003241
2025-06-21T18:12:46.000000Z,APEX-2-T,42.3062744140625,-71.1245346069336,17838,0.0,1.3725490196078431,6,83.0,11.4,732,16,31,11,2025-06-21T18:12:51.736493,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,0.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:12:51.095757Z,5B03DC02120C2EA0392942C33F8EC2AE451F100B4600007200063E030000D169
2025-06-21T18:12:51.000000Z,APEX-2-T,42.305824279785156,-71.12438201904297,17874,0.0,1.3725490196078431,5,82.5,11.4,733,16,34,11,2025-06-21T18:12:57.896357,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625876,Horus Binary v2,,6.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:12:56.126344Z,5B03DD02120C332A392942AF3F8EC2D24522100B46000072000539030000A4FC
2025-06-21T18:12:41.000000Z,APEX-2-T,42.306671142578125,-71.12454986572266,17780,0.0,1.3529411764705883,6,83.6,11.5,731,16,18,11,2025-06-21T18:12:47.594777,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625876,Horus Binary v2,,-2.7,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:12:46.139297Z,5B03DB02120C29083A2942C53F8EC2744512100B45000073000644030000F398
2025-06-21T18:12:21.000000Z,APEX-2-T,42.3076286315918,-71.1244125366211,17607,0.0,1.3725490196078431,6,86.0,11.6,727,16,34,11,2025-06-21T18:12:27.421109,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625866,Horus Binary v2,,0.6,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:12:26.008958Z,5B03D702120C15033B2942B33F8EC2C74422100B4600007400065C0300007437
2025-06-21T18:13:16.000000Z,APEX-2-T,42.3050422668457,-71.12409973144531,18024,0.0,1.3725490196078431,6,80.6,11.3,738,16,12,11,2025-06-21T18:13:22.354004,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-2.92,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:13:21.217047Z,5B03E202120D105D3829428A3F8EC268460C100B460000710006260300001B01
2025-06-21T18:13:21.000000Z,APEX-2-T,42.30488967895508,-71.12417602539062,18059,0.0,1.3725490196078431,6,80.2,11.3,739,16,10,11,2025-06-21T18:13:26.482345,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,2.11,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:13:26.240983Z,5B03E302120D1535382942943F8EC28B460A100B460000710006220300005C76
2025-06-21T18:13:51.000000Z,APEX-2-T,42.3045654296875,-71.12387084960938,18247,0.0,1.3725490196078431,6,77.8,11.1,745,16,3,11,2025-06-21T18:13:56.635986,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625861,Horus Binary v2,,2.14,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:13:56.277880Z,5B03E902120D33E03729426C3F8EC2474703100B4600006F00060A0300004426
2025-06-21T18:14:21.000000Z,APEX-2-T,42.304080963134766,-71.12238311767578,18423,0.0,1.3725490196078431,6,75.7,11.0,751,21,22,11,2025-06-21T18:14:26.927470,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-2.28,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:14:26.321945Z,5B03EF02120E1561372942A93E8EC2F74716150B4600006E0006F5020000FFD9
2025-06-21T18:14:11.000000Z,APEX-2-T,42.304298400878906,-71.1229248046875,18368,0.0,1.3529411764705883,6,76.4,11.1,749,21,19,11,2025-06-21T18:14:16.798952,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625869,Horus Binary v2,,0.16,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:14:16.341366Z,5B03ED02120E0B9A372942F03E8EC2C04713150B4500006F0006FC02000054D1
2025-06-21T18:15:01.000000Z,APEX-2-T,42.30231475830078,-71.12096405029297,18638,0.0,1.3725490196078431,6,73.2,10.9,759,21,34,10,2025-06-21T18:15:07.116622,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62586,Horus Binary v2,,4.95,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:15:06.433795Z,5B03F702120F0192352942EF3D8EC2CE4822150A4600006D0006DC0200002635
2025-06-21T18:15:05.000000Z,APEX-2-T,42.30217742919922,-71.12073516845703,18659,0.0,1.3725490196078431,6,72.8,10.9,760,21,21,10,2025-06-21T18:15:13.234293,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625873,Horus Binary v2,,-2.07,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:15:11.470231Z,5B03F802120F056E352942D13D8EC2E34815150A4600006D0006D8020000412C
2025-06-21T18:15:41.000000Z,APEX-2-T,42.30044937133789,-71.12020874023438,18855,0.0,1.3529411764705883,5,70.7,10.9,767,22,6,10,2025-06-21T18:15:47.423282,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-6.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:15:46.021529Z,5B03FF02120F29A93329428C3D8EC2A74906160A4500006D0005C30200007099
2025-06-21T18:36:56.000000Z,APEX-2-T,42.29570388793945,-71.18843078613281,26113,0.0,1.3725490196078431,6,24.1,17.6,1022,21,10,17,2025-06-21T18:37:03.378545,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625872,Horus Binary v2,,1.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:37:01.408391Z,5B03FE03122438CD2E29427A608EC201660A1511460000B00006F100000094FE
2025-06-21T18:37:31.000000Z,APEX-2-T,42.29627990722656,-71.189208984375,26327,0.0,1.3529411764705883,6,23.4,17.8,1029,21,28,17,2025-06-21T18:37:37.847864,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625879,Horus Binary v2,,-6.67,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:37:35.969607Z,5B03050412251F642F2942E0608EC2D7661C1511450000B20006EA0000004D2C
2025-06-21T18:37:01.000000Z,APEX-2-T,42.295806884765625,-71.18842315673828,26141,0.0,1.3725490196078431,6,24.0,17.6,1023,21,15,17,2025-06-21T18:37:07.542444,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625866,Horus Binary v2,,1.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:37:06.456279Z,5B03FF03122501E82E294279608EC21D660F1511460000B00006F000000096F7
2025-06-21T18:37:06.000000Z,APEX-2-T,42.29584884643555,-71.18850708007812,26173,0.0,1.3725490196078431,6,23.8,17.7,1024,21,6,17,2025-06-21T18:37:11.687675,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625882,Horus Binary v2,,1.87,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:37:11.491926Z,5B030004122506F32E294284608EC23D66061511460000B10006EE00000019F4
2025-06-21T18:38:36.000000Z,APEX-2-T,42.29668045043945,-71.19341278076172,26721,0.0,1.3529411764705883,6,22.1,18.3,1042,21,19,18,2025-06-21T18:38:42.050034,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625882,Horus Binary v2,,2.27,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:38:41.080248Z,5B031204122624CD2F294207638EC26168131512450000B70006DD000000B1CE
2025-06-21T18:39:05.000000Z,APEX-2-T,42.29755783081055,-71.19590759277344,26894,0.0,1.3725490196078431,6,21.5,18.5,1048,21,20,18,2025-06-21T18:39:12.241191,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625883,Horus Binary v2,,-3.22,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:39:11.212649Z,5B031804122705B33029424E648EC20E69141512460000B90006D70000006DB9
2025-06-21T18:39:36.000000Z,APEX-2-T,42.29814147949219,-71.19786834716797,27074,0.0,1.3725490196078431,5,21.0,18.7,1054,21,2,18,2025-06-21T18:39:42.439255,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625877,Horus Binary v2,,-4.64,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:39:41.151391Z,5B031E041227244C3129424F658EC2C269021512460000BB0005D2000000F9CE
2025-06-21T18:40:36.000000Z,APEX-2-T,42.297786712646484,-71.2018814086914,27453,0.0,1.3725490196078431,5,20.0,19.0,1066,21,25,19,2025-06-21T18:40:42.645542,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625891,Horus Binary v2,,0.77,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:40:41.323639Z,5B032A04122824EF3029425D678EC23D6B191513460000BE0005C8000000E57B
2025-06-21T18:41:41.000000Z,APEX-2-T,42.29795455932617,-71.21047973632812,27853,0.0,1.3725490196078431,5,18.8,19.5,1079,21,57,19,2025-06-21T18:41:46.845953,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625889,Horus Binary v2,,-3.32,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:41:46.347391Z,5B0337041229291B312942C46B8EC2CD6C391513460000C30005BC0000005F86
2025-06-21T18:42:11.000000Z,APEX-2-T,42.29783630371094,-71.21574401855469,28033,0.0,1.3725490196078431,6,18.4,19.8,1085,21,53,19,2025-06-21T18:42:17.017320,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625892,Horus Binary v2,,-1.72,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:42:16.389967Z,5B033D04122A0BFC302942766E8EC2816D351513460000C60006B8000000AC7F
2025-06-21T18:43:41.000000Z,APEX-2-T,42.29835510253906,-71.2322998046875,28557,0.0,1.3725490196078431,5,17.1,20.4,1103,21,38,20,2025-06-21T18:43:47.516434,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625898,Horus Binary v2,,-8.09,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:43:45.988453Z,5B034F04122B2984312942F0768EC28D6F261514460000CC0005AB0000003924
2025-06-21T18:43:11.000000Z,APEX-2-T,42.2979736328125,-71.22704315185547,28391,0.0,1.3725490196078431,5,17.6,20.2,1097,21,54,20,2025-06-21T18:43:17.356163,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625886,Horus Binary v2,,-6.24,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:43:16.451434Z,5B034904122B0B203129423F748EC2E76E361514460000CA0005B0000000877B
2025-06-21T18:44:46.000000Z,APEX-2-T,42.298912048339844,-71.2408676147461,28921,0.0,1.3725490196078431,5,16.4,20.9,1116,21,41,20,2025-06-21T18:44:51.727347,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625896,Horus Binary v2,,-1.62,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T18:44:51.181055Z,5B035C04122C2E16322942537B8EC2F970291514460000D10005A4000000C234
